"country","fatf","fin_secrecy","us_incsr","ti_cpi","wb_business_disclosure","wef_auditing_and_reporting_std","wef_security_exchange_reg","wb_fin_sector_reg","open_budget","wb_transpar_account_corruption","wef_instit_strength","rule_of_law","idea_political_disclosure","freedom_house","ML_TF","CORRUPTION_RISK","FIN_TRANSPAR_STD","PUBLIC_TRANSPAR_ACCOUNT","POLITICAL_LEGAL_RISK","OVERALL_SCORE"
"PANAMA",3.26530612244898,9.39189189189189,10,6.5,6,2.83333333333333,3.83333333333333,NA,NA,NA,4.32857142857143,4.5,2.5,2.77777777777778,6.65779201493487,6.5,3.71428571428571,2.5,3.86878306878307,5.85314682028968
"PAPUA NEW GUINEA",7.48299319727891,5,NA,7.5,5,NA,NA,6,4.4,6,NA,4.5,2.5,3.18888888888889,6.3543599257885,7.5,5.5,4.3,3.84444444444444,6.11255617398474
"PARAGUAY",8.40277777777778,NA,10,7.6,4,5,5.16666666666667,NA,NA,NA,5.84285714285714,4.5,2.5,4.18888888888889,8.80208333333333,7.6,4.92857142857143,2.5,4.84391534391534,7.58783564814815
"PERU",4.42176870748299,NA,5,6.2,1,3.5,4.33333333333333,NA,4.3,NA,5.2,3.7,0,3.13333333333333,4.56632653061225,6.2,3.5,2.15,4.01111111111111,4.42116780045351
"PHILIPPINES",5.78231292517007,7.83783783783784,10,6.4,8,3,3.66666666666667,NA,5.2,NA,4.62857142857143,3.5,5,3.68888888888889,7.22177436463151,6.4,4,5.1,3.93915343915344,6.38611100896815
"POLAND",4.16666666666667,NA,5,4,3,3.33333333333333,3.5,NA,4.1,NA,4.12857142857143,0.699999999999999,0,0.9,4.375,4,3.35714285714286,2.05,1.90952380952381,3.94529761904762
"PORTUGAL",3.40277777777778,5.81081081081081,5,3.8,4,3.66666666666667,4.33333333333333,NA,3.8,NA,4.27142857142857,NA,0,0.6,4.57467082467082,3.8,4,1.9,2.43571428571429,4.17032175032175
"PUERTO RICO*",NA,NA,NA,3.8,3,1.66666666666667,2.5,NA,NA,NA,3.28571428571429,NA,NA,0.833333333333333,NA,3.8,2.21428571428571,NA,2.05952380952381,2.71706349206349
"QATAR",6.73469387755102,NA,5,3.2,5,1.5,2,NA,10,NA,1.5,6,NA,7.23333333333333,6.30102040816326,3.2,2.21428571428571,10,4.91111111111111,5.49336167800453
"ROMANIA",4.72222222222222,NA,5,5.7,1,5,6,NA,5.3,NA,5.22857142857143,2.5,0,2.47777777777778,4.79166666666667,5.7,4.85714285714286,2.65,3.4021164021164,4.71576058201058
"RUSSIA",4.25531914893617,8.58108108108108,10,7.2,4,5,5.66666666666667,NA,2.6,NA,5.31428571428571,5.7,0,7.7,6.80287079223249,7.2,5.14285714285714,1.3,6.23809523809524,6.29019934828445
"RWANDA**",NA,NA,NA,4.7,3,3.83333333333333,4.83333333333333,5,9.2,5,2.57142857142857,6,7.5,7.63333333333333,NA,4.7,4.25,7.23333333333333,5.4015873015873,4.96927437641723
"SAMOA*",7.2108843537415,5.33783783783784,NA,NA,5,NA,NA,4,NA,4,NA,NA,7.5,2.07777777777778,6.35949957378529,NA,4.5,5.75,2.07777777777778,5.77784845761036
"SAN MARINO*",4.28571428571429,5.87837837837838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.533333333333333,5.00965250965251,NA,NA,5,0.533333333333333,4.71058773058773
"SAO TOME AND PRINCIPE*",8.26388888888889,NA,NA,5.8,7,NA,NA,7,7.1,5,NA,NA,1.25,2.04444444444444,8.26388888888889,5.8,7,4.45,2.04444444444444,7.32625
"SAUDI ARABIA",4.62585034013605,8.17567567567568,5,5.4,1,2.33333333333333,3.16666666666667,NA,9.9,NA,2.67142857142857,7,NA,9.43333333333333,6.04872926301498,5.4,2.5,9.9,6.36825396825397,5.66008671937243
